Date,Pollster,Area,Cons,Lab,LibDems,SNP,Greens,Lead
27–28 Apr,Techne UK,UK,35%,40%,9%,4%,6%,5%
20–28 Apr,Ipsos MORI,GB,35%,40%,10%,5%,7%,5%
26–27 Apr,YouGov,GB,33%,39%,11%,5%,6%,6%
22–26 Apr,Survation,UK,33%,42%,9%,4%,4%,9%
24 Apr,Redfield & Wilton Strategies,GB,34%,42%,11%,4%,4%,8%
22–24 Apr,SavantaComRes,UK,34%,40%,11%,4%,3%,6%
20–22 Apr,Opinium,UK,34%,36%,10%,4%,8%,2%
20–21 Apr,Techne UK,UK,34%,40%,10%,4%,5%,6%
19–20 Apr,YouGov,GB,33%,39%,9%,4%,8%,6%
17 Apr,Redfield & Wilton Strategies,GB,34%,42%,10%,5%,5%,8%
13–14 Apr,Deltapoll,GB,32%,43%,9%,5%,6%,11%
13–14 Apr,YouGov,GB,33%,38%,10%,4%,7%,5%
12–13 Apr,Techne UK,UK,34%,41%,9%,4%,5%,7%
7–11 Apr,Kantar Public,GB,34%,37%,11%,5%,7%,3%
10 Apr,Redfield & Wilton Strategies,GB,34%,42%,8%,4%,5%,8%
8–10 Apr,SavantaComRes,UK,34%,40%,9%,4%,4%,6%
6–8 Apr,Opinium,GB,34%,38%,10%,4%,7%,4%
6–7 Apr,Techne UK,UK,35%,40%,10%,4%,4%,5%
6–7 Apr,YouGov,GB,34%,37%,10%,4%,7%,3%
3 Apr,Redfield & Wilton Strategies,GB,36%,42%,9%,3%,4%,6%
1–3 Apr,SavantaComRes,UK,33%,40%,11%,5%,4%,7%
30–31 Mar,Techne UK,GB,36%,39%,9%,5%,5%,3%
29–30 Mar,YouGov,GB,33%,37%,9%,6%,6%,4%
28–30 Mar,Survation,UK,35%,42%,9%,4%,3%,7%
27 Mar,Redfield & Wilton Strategies,GB,35%,37%,9%,6%,5%,2%
25–27 Mar,SavantaComRes,GB,35%,39%,11%,5%,3%,4%
23–25 Mar,Opinium,GB,36%,38%,9%,4%,7%,2%
23–24 Mar,YouGov,GB,35%,37%,10%,4%,7%,2%
23–24 Mar,Techne,UK,35%,40%,10%,4%,5%,5%
22–23 Mar,YouGov,GB,35%,36%,9%,4%,8%,1%
17–21 Mar,Kantar Public,GB,36%,36%,12%,3%,6%,Tie
20 Mar,Redfield & Wilton Strategies,GB,35%,40%,11%,4%,7%,5%
16–17 Mar,Techne,UK,35%,39%,10%,4%,6%,4%
16–17 Mar,YouGov,GB,33%,39%,10%,5%,7%,6%
9–16 Mar,Ipsos MORI,GB,35%,39%,10%,5%,7%,4%
13 Mar,Redfield & Wilton Strategies,GB,36%,39%,10%,4%,6%,3%
11–13 Mar,SavantaComRes,UK,35%,40%,9%,4%,3%,5%
9–11 Mar,Opinium,GB,35%,37%,9%,4%,7%,2%
8–11 Mar,Deltapoll,GB,34%,40%,10%,5%,5%,6%
9–10 Mar,Techne,UK,36%,38%,9%,4%,6%,2%
8–9 Mar,YouGov,GB,33%,39%,10%,4%,7%,6%
7 Mar,Redfield & Wilton Strategies,GB,37%,40%,10%,4%,5%,3%
4–7 Mar,Survation (MRP update),GB,37%,40%,9%,5%,5%,3%
11 Nov – 7 Mar,Survation (MRP),GB,37.0%,40.2%,9.0%,4.5%,4.8%,3.2%
4–6 Mar,Savanta ComRes,UK,34%,41%,9%,5%,4%,7%
3–4 Mar,YouGov,GB,35%,37%,7%,5%,8%,2%
2–3 Mar,Techne UK,UK,35%,38%,10%,4%,6%,3%
28 Feb,Redfield & Wilton Strategies,GB,35%,38%,12%,5%,5%,3%
21–28 Feb,Number Cruncher Politics,UK,35%,42%,8%,5%,6%,7%
25–27 Feb,Savanta ComRes,UK,34%,42%,9%,4%,3%,8%
24–25 Feb,YouGov,GB,34%,39%,9%,5%,6%,5%
23–25 Feb,Opinium,GB,34%,38%,11%,4%,6%,4%
23–24 Feb,Techne UK,UK,35%,39%,9%,4%,6%,4%
21 Feb,Redfield & Wilton Strategies,GB,33%,39%,11%,5%,7%,6%
17–21 Feb,Kantar Public,GB,34%,39%,12%,4%,6%,5%
17–21 Feb,Survation,UK,35%,42%,9%,4%,3%,7%
18–20 Feb,Savanta ComRes,UK,33%,40%,11%,4%,5%,7%
14–18 Feb,Findoutnow,GB,32%,38%,13%,5%,7%,6%
16–17 Feb,Techne UK,UK,34%,39%,10%,4%,6%,5%
16–17 Feb,YouGov,GB,34%,38%,10%,4%,6%,4%
14 Feb,Redfield & Wilton Strategies,GB,33%,38%,11%,4%,6%,5%
11–13 Feb,Savanta ComRes,UK,32%,41%,11%,4%,4%,9%
10–11 Feb,YouGov,GB,34%,37%,10%,5%,8%,3%
9–11 Feb,Opinium[b],GB,34%,37%,11%,3%,6%,3%
8–9 Feb,Techne UK,UK,33%,41%,9%,4%,6%,8%
7 Feb,Redfield & Wilton Strategies,GB,32%,42%,9%,4%,6%,10%
4–6 Feb,Savanta ComRes,UK,33%,42%,9%,4%,5%,9%
3–4 Feb,Deltapoll,GB,34%,41%,10%,4%,5%,7%
1–2 Feb,Techne UK,UK,32%,40%,10%,4%,6%,8%
1–2 Feb,YouGov,GB,32%,41%,10%,5%,6%,9%
31 Jan,Redfield & Wilton Strategies,GB,33%,40%,11%,4%,6%,7%
28–30 Jan,Savanta ComRes,UK,33%,44%,9%,4%,3%,11%
28 Jan,Techne UK,UK,31%,38%,12%,4%,6%,7%
27–28 Jan,Opinium,GB,34%,39%,9%,5%,5%,5%
26–27 Jan,YouGov,GB,32%,38%,11%,5%,7%,6%
25–27 Jan,Deltapoll,GB,32%,42%,10%,5%,6%,10%
25 Jan,Survation,UK,35%,40%,10%,5%,3%,5%
19–25 Jan,Ipsos MORI,GB,31%,40%,13%,4%,9%,9%
24 Jan,Redfield & Wilton Strategies,GB,34%,41%,11%,5%,5%,7%
20–24 Jan,Kantar Public,GB,34%,38%,11%,5%,7%,4%
21–23 Jan,Savanta ComRes,UK,32%,40%,11%,5%,4%,8%
11–23 Jan,JL Partners Polls,GB,32%,45%,11%,,8%,13%
20–21 Jan,YouGov,GB,32%,39%,8%,5%,8%,7%
17 Jan,Redfield & Wilton Strategies,GB,30%,43%,9%,4%,7%,13%
14–17 Jan,Survation,UK,33%,43%,10%,4%,3%,10%
14–16 Jan,Savanta ComRes,GB,32%,41%,11%,5%,4%,9%
12–16 Jan,Deltapoll,GB,32%,41%,11%,5%,5%,9%
13–14 Jan,Savanta ComRes,GB,32%,42%,11%,4%,4%,10%
13–14 Jan,YouGov,GB,31%,39%,11%,5%,6%,8%
12–14 Jan,Opinium,UK,31%,41%,9%,4%,6%,10%
13 Jan,Find Out Now/Electoral Calculus,GB,27%,41%,11%,5%,8%,14%
12–13 Jan,YouGov,GB,29%,40%,11%,5%,6%,11%
12–13 Jan,Focaldata,GB,33%,42%,11%,3%,4%,9%
11–12 Jan,YouGov,GB,28%,38%,13%,5%,7%,10%
10 Jan,Redfield & Wilton Strategies,GB,35%,39%,12%,4%,5%,4%
7–9 Jan,Savanta ComRes,GB,33%,37%,11%,5%,4%,4%
6–7 Jan,YouGov,GB,33%,37%,10%,5%,6%,4%
5–7 Jan,Opinium,UK,34%,39%,11%,4%,5%,5%
3 Jan,Redfield & Wilton Strategies,GB,35%,38%,10%,5%,5%,3%
